transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet,is_anomaly_amount,is_anomaly_score,is_anomaly,year,month,quarter,weekday,montant_eur_verifie,montant_eur_diff,montant_eur_flag,categorie_risque
txn000888,cli0121,2024-04-30 23:19:00,860.29,GBP,0.86,1000.34,prelevement,compte epargne,marseille-vieux-port,Credit,Complete,643.0,Premium,38753.21,0.0,0,0,0,2024,4,2,1,1000.3372093023255,0.0027906976745271095,False,Medium
txn001557,cli0022,2024-10-20 21:52:00,1791.77,EUR,1.0,1791.77,depot especes,compte epargne,toulouse-capitole,Credit,Complete,787.0,Nan,25283.87,0.0,0,0,0,2024,10,4,6,1791.77,0.0,False,Low
txn000334,cli0020,2023-04-02 16:25:00,189.39,EUR,1.0,189.39,paiement cb,credit auto,bordeaux-meriadeck,Credit,Complete,660.0,Standard,44369.88,0.0,0,0,0,2023,4,2,6,189.39,0.0,False,Medium
txn001842,cli0131,2023-03-05 11:15:00,-2405.51,EUR,1.0,-2405.51,remboursement credit,compte courant,marseille-vieux-port,Debit,Complete,838.0,Premium,27273.18,0.0,0,0,0,2023,3,1,6,-2405.51,0.0,False,Low
txn001160,cli0146,2022-02-26 22:38:00,255.59,CHF,0.97,263.49,paiement cb,credit immobilier,toulouse-capitole,Credit,Rejete,583.0,Standard,10838.69,0.0,0,0,0,2022,2,1,5,263.49484536082474,-0.004845360824731415,False,Medium
txn001311,cli0046,2024-01-26 23:11:00,500.52,USD,1.08,463.44,prelevement,credit consommation,bordeaux-meriadeck,Credit,Complete,841.0,Premium,16341.35,0.0,0,0,0,2024,1,1,4,463.4444444444444,-0.004444444444402507,False,Low
txn000947,cli0036,2024-01-24 11:12:00,1062.22,EUR,1.0,1062.22,prelevement,credit consommation,marseille-vieux-port,Credit,Complete,572.0,Risque,29472.01,0.0,0,0,0,2024,1,1,2,1062.22,0.0,False,High
txn000053,cli0106,2024-03-27 13:46:00,-941.67,GBP,0.86,-1094.97,virement international,assurance vie,nantes-commerce,Debit,Complete,652.0,Standard,7716.68,0.0,0,0,0,2024,3,1,2,-1094.9651162790697,-0.004883720930365598,False,Medium
txn001762,cli0065,2023-10-14 23:56:00,-7199.72,EUR,1.0,-7199.72,virement international,livret a,bordeaux-meriadeck,Debit,Complete,643.0,Standard,7191.04,0.0,1,0,1,2023,10,4,5,-7199.72,0.0,False,Medium
txn000837,cli0096,2022-08-11 03:04:00,1119.97,EUR,1.0,1119.97,remboursement credit,pea,lyon-part-dieu,Credit,Complete,710.0,Standard,14182.13,0.0,0,0,0,2022,8,3,3,1119.97,0.0,False,Low
txn001817,cli0036,2022-08-25 16:20:00,4016.18,EUR,1.0,4016.18,virement international,credit auto,marseille-vieux-port,Credit,Complete,572.0,Risque,16865.81,0.0,0,0,0,2022,8,3,3,4016.18,0.0,False,High
txn000464,cli0028,2022-05-06 02:13:00,2460.25,EUR,1.0,2460.25,remboursement credit,compte courant,lyon-part-dieu,Credit,Complete,667.0,Standard,33077.98,0.0,0,0,0,2022,5,2,4,2460.25,0.0,False,Medium
txn000917,cli0045,2023-10-23 18:08:00,-2065.8,USD,1.08,-1912.78,remboursement credit,credit immobilier,bordeaux-meriadeck,Debit,Complete,704.0,Standard,10056.21,0.0,0,0,0,2023,10,4,0,-1912.7777777777778,-0.00222222222214441,False,Low
txn001905,cli0028,2024-09-16 09:09:00,-80.27,EUR,1.0,-80.27,paiement cb,assurance vie,lyon-part-dieu,Debit,Complete,667.0,Standard,15449.22,0.0,0,0,0,2024,9,3,0,-80.27,0.0,False,Medium
txn000219,cli0061,2022-05-03 04:45:00,-875.48,EUR,1.0,-875.48,remboursement credit,credit consommation,marseille-vieux-port,Debit,En attente,341.0,Risque,26035.99,0.0,0,1,1,2022,5,2,1,-875.48,0.0,False,High
txn001196,cli0050,2024-04-16 11:41:00,-2593.81,CHF,0.97,-2674.03,virement international,credit auto,lyon-part-dieu,Debit,Complete,666.0,Standard,32646.65,0.0,0,0,0,2024,4,2,1,-2674.0309278350514,0.0009278350512431643,False,Medium
txn001542,cli0113,2024-03-17 13:52:00,-91.48,GBP,0.86,-106.37,paiement cb,livret a,lyon-part-dieu,Debit,Complete,643.0,Standard,41551.58,0.0,0,0,0,2024,3,1,6,-106.37209302325581,0.002093023255810067,False,Medium
txn000147,cli0035,2023-02-21 10:41:00,-283.26,EUR,1.0,-283.26,remboursement credit,pea,lyon-part-dieu,Debit,Complete,600.0,Standard,36256.78,0.0,0,0,0,2023,2,1,1,-283.26,0.0,False,Medium
txn000320,cli0113,2022-03-05 15:10:00,-1623.73,EUR,1.0,-1623.73,remboursement credit,compte epargne,lyon-part-dieu,Debit,Complete,643.0,Standard,42488.43,0.0,0,0,0,2022,3,1,5,-1623.73,0.0,False,Medium
txn000133,cli0076,2023-03-25 04:30:00,1394.85,EUR,1.0,1394.85,virement international,pea,lyon-part-dieu,Credit,Complete,326.0,Risque,27506.8,0.0,0,1,1,2023,3,1,5,1394.85,0.0,False,High
txn001939,cli0048,2024-07-07 13:27:00,-140.32,MAD,10.85,-12.93,paiement cb,compte epargne,toulouse-capitole,Debit,Complete,670.0,Standard,7276.46,0.0,0,0,0,2024,7,3,6,-12.932718894009216,0.0027188940092166547,False,Medium
txn000685,cli0142,2022-02-14 05:53:00,-145.66,EUR,1.0,-145.66,retrait dab,credit immobilier,toulouse-capitole,Debit,Complete,676.0,Standard,39391.96,0.0,0,0,0,2022,2,1,0,-145.66,0.0,False,Medium
txn001752,cli0045,2023-03-08 01:05:00,-471.95,EUR,1.0,-471.95,paiement cb,credit consommation,bordeaux-meriadeck,Debit,Complete,704.0,Standard,27850.82,0.0,0,0,0,2023,3,1,2,-471.95,0.0,False,Low
txn001247,cli0067,2023-08-08 14:01:00,1364.35,EUR,1.0,1364.35,remboursement credit,compte epargne,paris-centre,Credit,Complete,337.0,Risque,5723.41,0.0,0,1,1,2023,8,3,1,1364.35,0.0,False,High
txn000679,cli0112,2022-10-26 04:30:00,-2607.66,EUR,1.0,-2607.66,virement international,pea,marseille-vieux-port,Debit,Rejete,636.0,Standard,25932.26,0.0,0,0,0,2022,10,4,2,-2607.66,0.0,False,Medium
txn000212,cli0020,2024-01-08 01:31:00,-2585.11,EUR,1.0,-2585.11,interets,credit immobilier,bordeaux-meriadeck,Debit,Complete,660.0,Standard,5234.96,0.0,0,0,0,2024,1,1,0,-2585.11,0.0,False,Medium
txn000383,cli0140,2023-05-28 12:53:00,87.22,EUR,1.0,87.22,interets,credit consommation,marseille-vieux-port,Credit,Complete,609.0,Standard,48751.11,0.0,0,0,0,2023,5,2,6,87.22,0.0,False,Medium
txn001981,cli0082,2024-03-13 05:35:00,-1440.39,EUR,1.0,-1440.39,virement international,pea,paris-centre,Debit,Complete,813.0,Premium,5403.85,0.0,0,0,0,2024,3,1,2,-1440.39,0.0,False,Low
txn000010,cli0078,2022-08-31 17:48:00,1277.71,MAD,10.85,117.76,prelevement,credit consommation,marseille-vieux-port,Credit,Complete,647.0,Standard,19080.86,0.0,0,0,0,2022,8,3,2,117.76129032258065,-0.0012903225806439877,False,Medium
txn001971,cli0037,2024-05-21 03:28:00,-2435.52,CHF,0.97,-2510.85,virement,compte courant,lille-grand-place,Debit,Complete,622.0,Standard,8001.13,0.0,0,0,0,2024,5,2,1,-2510.8453608247423,-0.004639175257580064,False,Medium
txn001461,cli0082,2023-12-08 12:07:00,-611.64,EUR,1.0,-611.64,depot especes,assurance vie,paris-centre,Debit,Complete,813.0,Premium,29668.5,0.0,0,0,0,2023,12,4,4,-611.64,0.0,False,Low
txn001048,cli0030,2024-08-27 22:21:00,2540.3,EUR,1.0,2540.3,interets,livret a,lyon-part-dieu,Credit,Complete,391.0,Risque,49038.65,0.0,0,1,1,2024,8,3,1,2540.3,0.0,False,High
txn000027,cli0129,2024-06-20 03:33:00,-7301.45,GBP,0.86,-8490.06,virement international,credit immobilier,paris-centre,Debit,Complete,573.0,Risque,32773.59,0.0,1,0,1,2024,6,2,3,-8490.058139534884,-0.001860465115896659,False,High
txn001732,cli0144,2023-12-16 09:26:00,-5328.18,EUR,1.0,-5328.18,virement international,pea,paris-centre,Debit,Complete,361.0,Risque,43745.48,0.0,1,1,1,2023,12,4,5,-5328.18,0.0,False,High
txn000003,cli0049,2024-04-12 15:35:00,2286.59,EUR,1.0,2286.59,prelevement,credit auto,lyon-part-dieu,Credit,Complete,593.0,Standard,960.44,0.0,0,0,0,2024,4,2,4,2286.59,0.0,False,Medium
txn000469,cli0033,2022-02-02 04:46:00,2660.42,EUR,1.0,2660.42,depot especes,credit immobilier,lyon-part-dieu,Credit,Complete,584.0,Standard,32147.92,0.0,0,0,0,2022,2,1,2,2660.42,0.0,False,Medium
txn001641,cli0026,2024-03-05 03:38:00,-2959.53,USD,1.08,-2740.31,interets,pea,lille-grand-place,Debit,Complete,699.0,Standard,35237.56,0.0,0,0,0,2024,3,1,1,-2740.3055555555557,-0.00444444444428882,False,Medium
txn000293,cli0118,2024-07-06 02:54:00,-1520.45,GBP,0.86,-1767.97,interets,credit auto,lille-grand-place,Debit,Complete,641.0,Standard,986.68,0.0,0,0,0,2024,7,3,5,-1767.96511627907,-0.0048837209301382245,False,Medium
txn000192,cli0106,2022-09-17 22:55:03,-441.44,MAD,10.85,-40.69,virement,pea,nantes-commerce,Debit,Complete,652.0,Standard,38097.53,0.0,0,0,0,2022,9,3,5,-40.68571428571429,-0.004285714285707343,False,Medium
txn000434,cli0115,2022-08-29 04:12:00,21.7,EUR,1.0,21.7,paiement cb,compte courant,toulouse-capitole,Credit,Complete,709.0,Standard,42785.01,0.0,0,0,0,2022,8,3,0,21.7,0.0,False,Low
txn000918,cli0079,2024-08-02 17:11:00,1159.1,EUR,1.0,1159.1,prelevement,compte epargne,paris-centre,Credit,Complete,689.0,Standard,26375.91,0.0,0,0,0,2024,8,3,4,1159.1,0.0,False,Medium
txn000087,cli0100,2022-02-03 11:50:00,-726.96,EUR,1.0,-726.96,virement international,livret a,lille-grand-place,Debit,Complete,656.0,Standard,36785.83,0.0,0,0,0,2022,2,1,3,-726.96,0.0,False,Medium
txn000310,cli0040,2023-10-23 19:03:00,2332.3,EUR,1.0,2332.3,virement,assurance vie,nice-massena,Credit,Complete,491.0,Risque,28676.58,0.0,0,0,0,2023,10,4,0,2332.3,0.0,False,High
txn001126,cli0124,2023-01-20 20:55:00,2460.12,GBP,0.86,2860.6,interets,credit auto,toulouse-capitole,Credit,Rejete,585.0,Standard,22714.36,0.0,0,0,0,2023,1,1,4,2860.6046511627906,-0.004651162790651142,False,Medium
txn000694,cli0046,2022-06-05 11:57:00,293.13,EUR,1.0,293.13,interets,livret a,bordeaux-meriadeck,Credit,Complete,643.0,Premium,46337.64,0.0,0,0,0,2022,6,2,6,293.13,0.0,False,Medium
txn001168,cli0047,2022-07-18 21:58:00,-94.24,MAD,10.85,-8.69,retrait dab,credit immobilier,lyon-part-dieu,Debit,En attente,397.0,Risque,35347.74,0.0,0,1,1,2022,7,3,0,-8.685714285714285,-0.004285714285714448,False,High
txn000361,cli0131,2022-09-20 01:33:00,-403.65,EUR,1.0,-403.65,paiement cb,compte courant,marseille-vieux-port,Debit,Complete,838.0,Premium,19746.47,0.0,0,0,0,2022,9,3,1,-403.65,0.0,False,Low
txn001729,cli0070,2024-08-09 14:05:00,374.23,EUR,1.0,374.23,remboursement credit,pea,nantes-commerce,Credit,Complete,643.0,Risque,34827.68,0.0,0,0,0,2024,8,3,4,374.23,0.0,False,Medium
txn001928,cli0028,2022-06-02 00:20:00,-2581.55,EUR,1.0,-2581.55,remboursement credit,livret a,bordeaux-meriadeck,Debit,Complete,667.0,Standard,3656.29,0.0,0,0,0,2022,6,2,3,-2581.55,0.0,False,Medium
txn000524,cli0006,2022-02-15 07:53:00,474.78,EUR,1.0,474.78,paiement cb,compte epargne,toulouse-capitole,Credit,Complete,620.0,Standard,32822.45,0.0,0,0,0,2022,2,1,1,474.78,0.0,False,Medium
txn000112,cli0111,2024-01-20 12:23:00,-183.47,CHF,0.97,-189.14,depot especes,credit consommation,paris-centre,Debit,Complete,643.0,Standard,14501.22,0.0,0,0,0,2024,1,1,5,-189.1443298969072,0.004329896907222519,False,Medium
txn001381,cli0122,2023-12-14 09:41:00,-711.73,EUR,1.0,-711.73,prelevement,assurance vie,nantes-commerce,Debit,Complete,824.0,Premium,48179.06,0.0,0,0,0,2023,12,4,3,-711.73,0.0,False,Low
txn000619,cli0111,2023-08-19 01:31:00,-88888.0,GBP,0.86,-1429.14,remboursement credit,credit auto,paris-centre,Debit,Complete,617.0,Standard,3129.16,0.0,1,0,1,2023,8,3,5,-103358.13953488372,101928.99953488373,True,Medium
txn001652,cli0113,2023-05-10 15:32:00,837.81,EUR,1.0,837.81,interets,credit consommation,lyon-part-dieu,Credit,Complete,643.0,Standard,28556.77,0.0,0,0,0,2023,5,2,2,837.81,0.0,False,Medium
txn000775,cli0053,2023-07-06 20:44:00,1954.44,EUR,1.0,1954.44,prelevement,credit immobilier,paris-centre,Credit,Complete,643.0,Standard,7759.22,0.0,0,0,0,2023,7,3,3,1954.44,0.0,False,Medium
txn000317,cli0040,2023-11-11 01:05:00,-266.08,EUR,1.0,-266.08,virement,assurance vie,nice-massena,Debit,Complete,491.0,Risque,28790.62,0.0,0,0,0,2023,11,4,5,-266.08,0.0,False,High
txn001770,cli0041,2022-08-28 02:20:00,2775.98,EUR,1.0,2775.98,depot especes,compte epargne,bordeaux-meriadeck,Credit,Complete,643.0,Standard,7666.57,0.0,0,0,0,2022,8,3,6,2775.98,0.0,False,Medium
txn000765,cli0104,2023-05-09 12:31:00,165.29,EUR,1.0,165.29,retrait dab,credit immobilier,nantes-commerce,Credit,Complete,643.0,Standard,18831.04,0.0,0,0,0,2023,5,2,1,165.29,0.0,False,Medium
txn000687,cli0112,2022-09-25 06:12:00,1621.04,EUR,1.0,1621.04,prelevement,pea,marseille-vieux-port,Credit,Complete,636.0,Standard,48851.38,0.0,0,0,0,2022,9,3,6,1621.04,0.0,False,Medium
txn001399,cli0006,2024-02-09 17:29:00,465.08,EUR,1.0,465.08,retrait dab,livret a,toulouse-capitole,Credit,Complete,620.0,Standard,6426.27,0.0,0,0,0,2024,2,1,4,465.08,0.0,False,Medium
txn000233,cli0045,2023-10-14 23:44:00,1108.41,EUR,1.0,1108.41,depot especes,pea,bordeaux-meriadeck,Credit,En attente,704.0,Nan,28223.96,0.0,0,0,0,2023,10,4,5,1108.41,0.0,False,Low
txn000836,cli0015,2022-06-08 22:29:00,249.16,EUR,1.0,249.16,retrait dab,compte epargne,lyon-part-dieu,Credit,Complete,648.0,Standard,8324.74,0.0,0,0,0,2022,6,2,2,249.16,0.0,False,Medium
txn001595,cli0100,2023-06-07 10:45:00,-324.96,GBP,0.86,-377.86,retrait dab,credit consommation,lille-grand-place,Debit,Complete,656.0,Standard,27311.4,0.0,0,0,0,2023,6,2,2,-377.86046511627904,0.00046511627903100816,False,Medium
txn000262,cli0055,2023-02-28 08:41:00,-216.56,EUR,1.0,-216.56,retrait dab,compte courant,bordeaux-meriadeck,Debit,Complete,703.0,Standard,6702.47,0.0,0,0,0,2023,2,1,1,-216.56,0.0,False,Low
txn001715,cli0131,2023-04-15 18:53:00,365.65,USD,1.08,338.56,paiement cb,compte epargne,marseille-vieux-port,Credit,Complete,838.0,Premium,36551.83,0.0,0,0,0,2023,4,2,5,338.5648148148148,-0.004814814814778856,False,Low
txn000820,cli0140,2022-04-02 03:34:00,-925.38,EUR,1.0,-925.38,prelevement,compte epargne,marseille-vieux-port,Debit,Complete,609.0,Standard,45617.13,0.0,0,0,0,2022,4,2,5,-925.38,0.0,False,Medium
txn000357,cli0088,2023-01-01 15:20:00,1092.94,EUR,1.0,1092.94,prelevement,assurance vie,bordeaux-meriadeck,Credit,Complete,413.0,Nan,37333.2,0.0,0,1,1,2023,1,1,6,1092.94,0.0,False,High
txn001969,cli0115,2022-07-20 18:08:00,-1610.33,EUR,1.0,-1610.33,virement international,credit consommation,toulouse-capitole,Debit,Complete,709.0,Standard,18681.61,0.0,0,0,0,2022,7,3,2,-1610.33,0.0,False,Low
txn001617,cli0061,2022-06-28 04:27:00,2649.48,EUR,1.0,2649.48,depot especes,pea,marseille-vieux-port,Credit,Complete,341.0,Risque,48173.27,0.0,0,1,1,2022,6,2,1,2649.48,0.0,False,High
txn000757,cli0057,2022-10-29 19:18:00,480.32,USD,1.08,444.74,interets,compte courant,nice-massena,Credit,Complete,435.0,Risque,15513.68,0.0,0,0,0,2022,10,4,5,444.7407407407407,-0.0007407407406958555,False,High
txn000017,cli0069,2022-12-25 15:33:00,1971.95,USD,1.08,1825.88,virement,credit immobilier,marseille-vieux-port,Credit,Rejete,647.0,Standard,21850.66,0.0,0,0,0,2022,12,4,6,1825.8796296296296,0.0003703703705468797,False,Medium
txn001477,cli0148,2022-11-12 04:20:00,-1572.54,EUR,1.0,-1572.54,remboursement credit,compte courant,lille-grand-place,Debit,Complete,713.0,Standard,26653.82,0.0,0,0,0,2022,11,4,5,-1572.54,0.0,False,Low
txn001313,cli0034,2024-01-23 18:50:03,-154.05,GBP,0.86,-179.13,retrait dab,credit immobilier,bordeaux-meriadeck,Debit,Complete,457.0,Risque,35700.14,0.0,0,0,0,2024,1,1,1,-179.1279069767442,-0.0020930232557816453,False,High
txn001872,cli0122,2022-02-16 06:43:00,588.76,EUR,1.0,588.76,depot especes,pea,nantes-commerce,Credit,Complete,824.0,Premium,11310.0,0.0,0,0,0,2022,2,1,2,588.76,0.0,False,Low
txn001244,cli0127,2024-04-29 17:04:00,168.38,USD,1.08,155.91,virement,credit consommation,nice-massena,Credit,Complete,643.0,Standard,24624.11,0.0,0,0,0,2024,4,2,0,155.9074074074074,0.0025925925926060245,False,Medium
txn001739,cli0098,2023-04-03 18:03:00,-2477.73,EUR,1.0,-2477.73,prelevement,pea,bordeaux-meriadeck,Debit,Complete,580.0,Standard,38961.38,0.0,0,0,0,2023,4,2,0,-2477.73,0.0,False,Medium
txn001347,cli0003,2024-02-03 10:00:00,1015.86,USD,1.08,940.61,virement international,credit consommation,lyon-part-dieu,Credit,Complete,587.0,Standard,16692.64,0.0,0,0,0,2024,2,1,5,940.6111111111111,-0.001111111111072205,False,Medium
txn000583,cli0137,2024-03-06 00:58:00,481.16,GBP,0.86,559.49,retrait dab,assurance vie,marseille-vieux-port,Credit,Complete,725.0,Premium,46822.49,0.0,0,0,0,2024,3,1,2,559.4883720930233,0.0016279069767506371,False,Low
txn001632,cli0055,2023-06-11 08:30:00,99999.99,EUR,1.0,-2309.67,remboursement credit,livret a,bordeaux-meriadeck,Debit,Rejete,703.0,Standard,39672.27,0.0,1,0,1,2023,6,2,6,99999.99,-102309.66,True,Low
txn001509,cli0141,2022-12-08 10:41:00,1122.89,EUR,1.0,1122.89,depot especes,credit consommation,lille-grand-place,Credit,Complete,726.0,Premium,46990.84,0.0,0,0,0,2022,12,4,3,1122.89,0.0,False,Low
txn000960,cli0092,2023-03-23 13:03:00,-1759.73,EUR,1.0,-1759.73,interets,pea,nantes-commerce,Debit,Rejete,717.0,Standard,22077.93,0.0,0,0,0,2023,3,1,3,-1759.73,0.0,False,Low
txn001344,cli0065,2024-10-16 14:42:03,2901.33,EUR,1.0,2901.33,remboursement credit,pea,bordeaux-meriadeck,Credit,Complete,660.0,Standard,40807.48,0.0,0,0,0,2024,10,4,2,2901.33,0.0,False,Medium
txn000797,cli0072,2023-05-22 21:52:00,-1316.02,GBP,0.86,-1530.26,prelevement,livret a,marseille-vieux-port,Debit,Complete,606.0,Standard,25166.46,0.0,0,0,0,2023,5,2,0,-1530.2558139534883,-0.004186046511676977,False,Medium
txn001868,cli0048,2023-06-04 10:55:00,2770.05,EUR,1.0,2770.05,prelevement,compte epargne,toulouse-capitole,Credit,Complete,670.0,Nan,49939.8,0.0,0,0,0,2023,6,2,6,2770.05,0.0,False,Medium
txn001441,cli0117,2023-08-29 04:34:00,2361.42,CHF,0.97,2434.45,prelevement,credit consommation,lille-grand-place,Credit,Complete,643.0,Standard,28310.46,0.0,0,0,0,2023,8,3,1,2434.453608247423,-0.003608247423017019,False,Medium
txn000856,cli0112,2024-03-07 00:35:00,6307.96,CHF,0.97,6503.05,virement international,livret a,marseille-vieux-port,Credit,Complete,636.0,Standard,28966.62,0.0,1,0,1,2024,3,1,3,6503.051546391753,-0.001546391752526688,False,Medium
txn000938,cli0019,2024-12-17 15:12:00,6692.74,EUR,1.0,6692.74,virement international,credit auto,lille-grand-place,Credit,Complete,505.0,Risque,17888.61,0.0,1,0,1,2024,12,4,1,6692.74,0.0,False,High
txn001802,cli0016,2023-01-02 08:34:00,-2509.01,GBP,0.86,-2917.45,virement,livret a,bordeaux-meriadeck,Debit,Complete,716.0,Standard,127.18,0.0,0,0,0,2023,1,1,0,-2917.4534883720935,0.0034883720936704776,False,Low
